"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0402";2;"22pF";CL05C220JB5NNNC;;
2;"C3";"C_0402";1;"100pF";NMC0402NPO101J50TRPF;;
3;"C4,C9,C10,C19";"C_0402";4;"0.1";CL10B104KO8NNNC;;
4;"C5";"C_0402";1;"10nF";CL05B103KO5NNNC;;
5;"C6";"C_0402";1;"3nF";GRM1557U1A302JA01D;;
6;"C12,C13";"C_0603";2;"10";CL10A106KQ8NNNC;;
7;"C14";"C_0402";1;"3.9pF";GRM1555C1H3R9BA01D;;
8;"C15";"C_0402";1;"2.4pF";GRM1555C1H2R4CA01D;;
9;"C16,C17";"C_0402";2;"270pF";GRM155R71H271KA01D;;
10;"C20,C11";"C_0402";2;"1";C1005X6S1C105K050BC;;
11;"D1";"SOD962-2";1;"PESD5V0R1BSFYL";PESD5V0R1BSFYL;;
12;"L4";"C_0402_NoSilk";1;"2.7nH";LQP15MN2N7B02D;;
13;"R1,R2,R3,R4";"R_0402";4;"20K";RC0402JR-0720KL;;
15;"U1";"Oscillator_SMD_Abracon_ASE-4pin_3.2x2.5mm";1;"40MHz +/- 10ppm";ABM8-40.000MHZ-10-1-U-T;;
16;"U2";"ESP32-QFN48";1;"ESP32";ESP32-D2WD;;
17;"LED1";"LED_0402";1;"LED";LTST-S220GKT;;
